record_id,outlet_id,outlet_name,area,zone,store_format,store_size_sqft,opening_year,month,footfall,orders,avg_order_value,revenue,cogs,rent,salaries,marketing_spend,utilities,total_cost,profit,profit_margin_pct
R10016,OUT101,BrewBite Jayanagar Standalone,Jayanagar,South,Standalone,979,2022,2024-05,8390,5162,257,1324690,436466,83200,92800,86405,42700,741571,583119,44
R10017,OUT101,BrewBite Jayanagar Standalone,Jayanagar,South,Standalone,979,2022,2024-06,8043,4448,233,1038150,366857,83200,84100,69848,39500,643505,394645,38
R10018,OUT101,BrewBite Jayanagar Standalone,Jayanagar,South,Standalone,979,2022,2024-07,6876,4008,231,924310,285634,83200,101200,57772,46400,574206,350104,37.9
R10019,OUT101,BrewBite Jayanagar Standalone,Jayanagar,South,Standalone,979,2022,2024-08,8717,5942,248,1474320,440857,83200,98400,88138,44900,755495,718825,48.8
R10020,OUT102,BrewBite Yeshwanthpur Standalone,Yeshwanthpur,North,Standalone,955,2023,2023-01,1973,1290,249,320790,104662,52500,87300,13812,46500,304774,16016,5
R10021,OUT102,BrewBite Yeshwanthpur Standalone,Yeshwanthpur,North,Standalone,955,2023,2023-02,2251,1345,214,287350,89989,52500,83100,12570,40500,278659,8691,3
R10022,OUT102,BrewBite Yeshwanthpur Standalone,Yeshwanthpur,North,Standalone,955,2023,2023-03,2060,1375,278,382130,136186,52500,98700,32102,40700,360188,21942,5.7
R10023,OUT102,BrewBite Yeshwanthpur Standalone,Yeshwanthpur,North,Standalone,955,2023,2023-04,2099,1356,266,360170,112926,52500,104700,24902,44500,339528,20642,5.7
R10024,OUT102,BrewBite Yeshwanthpur Standalone,Yeshwanthpur,North,Standalone,955,2023,2023-05,1990,938,238,223220,72877,52500,92200,7512,45300,270389,-47169,-21.1
R10025,OUT102,BrewBite Yeshwanthpur Standalone,Yeshwanthpur,North,Standalone,955,2023,2023-06,2015,1324,233,307860,103113,52500,101200,18932,41100,316845,-8985,-2.9
R10026,OUT102,BrewBite Yeshwanthpur Standalone,Yeshwanthpur,North,Standalone,955,2023,2023-07,1763,1062,255,270840,83854,52500,88300,19392,43500,287546,-16706,-6.2
R10027,OUT102,BrewBite Yeshwanthpur Standalone,Yeshwanthpur,North,Standalone,955,2023,2023-08,1936,1070,240,257290,80566,52500,73400,8310,44600,259376,-2086,-0.8
R10028,OUT102,BrewBite Yeshwanthpur Standalone,Yeshwanthpur,North,Standalone,955,2023,2023-09,1956,1210,256,309750,101002,52500,87500,23401,39700,304103,5647,1.8
R10029,OUT102,BrewBite Yeshwanthpur Standalone,Yeshwanthpur,North,Standalone,955,2023,2023-10,2387,1559,265,412630,132895,52500,97300,32559,53700,368954,43676,10.6
R10030,OUT102,BrewBite Yeshwanthpur Standalone,Yeshwanthpur,North,Standalone,955,2023,2023-11,2712,1832,264,483180,144042,52500,109500,25979,43400,375421,107759,22.3
R10031,OUT102,BrewBite Yeshwanthpur Standalone,Yeshwanthpur,North,Standalone,955,2023,2023-12,2972,1470,246,361760,106784,52500,82000,8160,37100,286544,75216,20.8
R10032,OUT102,BrewBite Yeshwanthpur Standalone,Yeshwanthpur,North,Standalone,955,2023,2024-01,2559,1572,236,371120,110301,52500,84300,11658,34000,292759,78361,21.1
R10033,OUT102,BrewBite Yeshwanthpur Standalone,Yeshwanthpur,North,Standalone,955,2023,2024-02,2665,1798,270,485740,166549,52500,94400,17056,46800,377305,108435,22.3
R10034,OUT102,BrewBite Yeshwanthpur Standalone,Yeshwanthpur,North,Standalone,955,2023,2024-03,3050,1671,250,417410,145308,52500,96500,19466,43800,357574,59836,14.3
R10035,OUT102,BrewBite Yeshwanthpur Standalone,Yeshwanthpur,North,Standalone,955,2023,2024-04,3395,2276,249,565800,181900,52500,93500,21393,39400,388693,177107,31.3
R10036,OUT102,BrewBite Yeshwanthpur Standalone,Yeshwanthpur,North,Standalone,955,2023,2024-05,3514,2296,194,446130,153391,52500,89400,33391,27300,355982,90148,20.2
R10037,OUT102,BrewBite Yeshwanthpur Standalone,Yeshwanthpur,North,Standalone,955,2023,2024-06,3825,2407,248,596020,192238,52500,91600,34615,37400,408353,187667,31.5
R10038,OUT102,BrewBite Yeshwanthpur Standalone,Yeshwanthpur,North,Standalone,955,2023,2024-07,3723,2349,225,527850,169975,52500,99100,24869,42600,389044,138806,26.3
R10039,OUT102,BrewBite Yeshwanthpur Standalone,Yeshwanthpur,North,Standalone,955,2023,2024-08,3807,2696,237,638840,208942,52500,99100,13902,43700,418144,220696,34.5
R10040,OUT103,BrewBite Yelahanka Kiosk,Yelahanka,North,Kiosk,248,2022,2023-01,2897,1899,271,515060,164059,6800,22400,24221,27300,244780,270280,52.5
R10041,OUT103,BrewBite Yelahanka Kiosk,Yelahanka,North,Kiosk,248,2022,2023-02,3197,1776,209,371240,116569,6800,22800,20163,20500,186832,184408,49.7
R10042,OUT103,BrewBite Yelahanka Kiosk,Yelahanka,North,Kiosk,248,2022,2023-03,3616,1882,298,560400,186043,6800,24600,17344,24100,258887,301513,53.8
R10043,OUT103,BrewBite Yelahanka Kiosk,Yelahanka,North,Kiosk,248,2022,2023-04,4148,1975,270,532330,178405,6800,24900,18038,20500,248643,283687,53.3
R10044,OUT103,BrewBite Yelahanka Kiosk,Yelahanka,North,Kiosk,248,2022,2023-05,4438,3249,257,834670,284648,6800,22800,29456,25200,368904,465766,55.8
R10045,OUT103,BrewBite Yelahanka Kiosk,Yelahanka,North,Kiosk,248,2022,2023-06,4479,2772,247,685800,214597,6800,19700,35629,21200,297926,387874,56.6
R10046,OUT103,BrewBite Yelahanka Kiosk,Yelahanka,North,Kiosk,248,2022,2023-07,3933,2025,243,491200,171192,6800,23500,29284,20300,251076,240124,48.9
R10047,OUT103,BrewBite Yelahanka Kiosk,Yelahanka,North,Kiosk,248,2022,2023-08,4252,2439,314,765760,248904,6800,21100,21226,25400,323430,442330,57.8
R10048,OUT103,BrewBite Yelahanka Kiosk,Yelahanka,North,Kiosk,248,2022,2023-09,4436,2400,227,545080,161718,6800,25900,23351,25600,243369,301711,55.4
R10049,OUT103,BrewBite Yelahanka Kiosk,Yelahanka,North,Kiosk,248,2022,2023-10,4588,3225,189,608790,185246,6800,22600,40595,24300,279541,329249,54.1
R10050,OUT103,BrewBite Yelahanka Kiosk,Yelahanka,North,Kiosk,248,2022,2023-11,4223,2495,214,532910,184297,6800,22600,31706,23700,269103,263807,49.5
R10051,OUT103,BrewBite Yelahanka Kiosk,Yelahanka,North,Kiosk,248,2022,2023-12,5273,3162,242,766150,246508,6800,23600,39613,27300,343821,422329,55.1
R10052,OUT103,BrewBite Yelahanka Kiosk,Yelahanka,North,Kiosk,248,2022,2024-01,4080,2600,234,607590,167521,6800,25700,32871,18600,251492,356098,58.6
R10053,OUT103,BrewBite Yelahanka Kiosk,Yelahanka,North,Kiosk,248,2022,2024-02,3643,2329,280,652060,225026,6800,20700,16117,27700,296343,355717,54.6
R10054,OUT103,BrewBite Yelahanka Kiosk,Yelahanka,North,Kiosk,248,2022,2024-03,4202,2878,206,592770,188738,6800,24500,26247,23900,270185,322585,54.4
R10055,OUT103,BrewBite Yelahanka Kiosk,Yelahanka,North,Kiosk,248,2022,2024-04,4203,2362,259,612480,199281,6800,21300,34825,23400,285606,326874,53.4
R10056,OUT103,BrewBite Yelahanka Kiosk,Yelahanka,North,Kiosk,248,2022,2024-05,4516,2728,221,603510,195823,6800,23400,47494,17900,291417,312093,51.7
R10057,OUT103,BrewBite Yelahanka Kiosk,Yelahanka,North,Kiosk,248,2022,2024-06,4644,2317,282,652880,197915,6800,26500,31018,22600,284833,368047,56.4
R10058,OUT103,BrewBite Yelahanka Kiosk,Yelahanka,North,Kiosk,248,2022,2024-07,3942,2571,224,576780,190261,6800,21100,22634,21200,261995,314785,54.6
R10059,OUT103,BrewBite Yelahanka Kiosk,Yelahanka,North,Kiosk,248,2022,2024-08,4536,2588,219,566220,168586,6800,22500,33165,20400,251451,314769,55.6
R10060,OUT104,BrewBite MG Road Standalone,MG Road,Central,Standalone,858,2023,2023-01,3401,1699,295,501230,169726,103000,85900,24584,38900,422110,79120,15.8
R10061,OUT104,BrewBite MG Road Standalone,MG Road,Central,Standalone,858,2023,2023-02,3392,2694,275,740860,224224,103000,89100,23183,40700,480207,260653,35.2
R10062,OUT104,BrewBite MG Road Standalone,MG Road,Central,Standalone,858,2023,2023-03,3530,2277,270,614840,212843,103000,98400,38571,32600,485414,129426,21.1
R10063,OUT104,BrewBite MG Road Standalone,MG Road,Central,Standalone,858,2023,2023-04,3328,1989,226,449360,154812,103000,91600,28366,46400,424178,25182,5.6
R10064,OUT104,BrewBite MG Road Standalone,MG Road,Central,Standalone,858,2023,2023-05,3730,2404,262,630870,203935,103000,108900,15288,37700,468823,162047,25.7
R10065,OUT104,BrewBite MG Road Standalone,MG Road,Central,Standalone,858,2023,2023-06,3589,2000,270,540270,175174,103000,121000,20507,41200,460881,79389,14.7
R10066,OUT104,BrewBite MG Road Standalone,MG Road,Central,Standalone,858,2023,2023-07,3008,1947,292,568870,178804,103000,97000,43822,38700,461326,107544,18.9
R10067,OUT104,BrewBite MG Road Standalone,MG Road,Central,Standalone,858,2023,2023-08,3159,2018,308,621810,201909,103000,96700,56636,33800,492045,129765,20.9
R10068,OUT104,BrewBite MG Road Standalone,MG Road,Central,Standalone,858,2023,2023-09,3500,2144,297,636010,220458,103000,97100,30820,42900,494278,141732,22.3
R10069,OUT104,BrewBite MG Road Standalone,MG Road,Central,Standalone,858,2023,2023-10,3749,2216,299,662600,210600,103000,84000,40809,36200,474609,187991,28.4
R10070,OUT104,BrewBite MG Road Standalone,MG Road,Central,Standalone,858,2023,2023-11,4452,2574,278,714970,215998,103000,80600,39783,42300,481681,233289,32.6
R10071,OUT104,BrewBite MG Road Standalone,MG Road,Central,Standalone,858,2023,2023-12,5238,3607,320,1152820,346121,103000,88200,87453,39400,664174,488646,42.4
R10072,OUT104,BrewBite MG Road Standalone,MG Road,Central,Standalone,858,2023,2024-01,4684,3099,269,832100,264227,103000,99600,46089,41000,553916,278184,33.4
R10073,OUT104,BrewBite MG Road Standalone,MG Road,Central,Standalone,858,2023,2024-02,4895,2969,269,797680,271493,103000,72900,42347,35600,525340,272340,34.1
R10074,OUT104,BrewBite MG Road Standalone,MG Road,Central,Standalone,858,2023,2024-03,5366,3458,359,1241070,394507,103000,97400,38169,41400,674476,566594,45.7
R10075,OUT104,BrewBite MG Road Standalone,MG Road,Central,Standalone,858,2023,2024-04,5755,4055,312,1267160,421005,103000,105500,57291,32100,718896,548264,43.3
R10076,OUT104,BrewBite MG Road Standalone,MG Road,Central,Standalone,858,2023,2024-05,6437,4795,275,1318580,425456,103000,91500,77925,36100,733981,584599,44.3
R10077,OUT104,BrewBite MG Road Standalone,MG Road,Central,Standalone,858,2023,2024-06,6334,3714,258,957570,291870,103000,99100,70304,31700,595974,361596,37.8
R10078,OUT104,BrewBite MG Road Standalone,MG Road,Central,Standalone,858,2023,2024-07,5810,3734,301,1122100,346073,103000,100600,76426,33200,659299,462801,41.2
R10079,OUT104,BrewBite MG Road Standalone,MG Road,Central,Standalone,858,2023,2024-08,6326,4251,269,1142370,323481,103000,87200,34364,40900,588945,553425,48.4
R10080,OUT105,BrewBite Domlur Standalone,Domlur,East,Standalone,860,2020,2023-01,10557,5832,305,1780210,550235,103200,84900,140878,42800,922013,858197,48.2
R10081,OUT105,BrewBite Domlur Standalone,Domlur,East,Standalone,860,2020,2023-02,8680,6161,325,2000820,637766,103200,91400,84771,38500,955637,1045183,52.2
R10082,OUT105,BrewBite Domlur Standalone,Domlur,East,Standalone,860,2020,2023-03,10512,7818,285,2229230,804251,103200,94200,103590,42400,1147641,1081589,48.5
R10083,OUT105,BrewBite Domlur Standalone,Domlur,East,Standalone,860,2020,2023-04,10866,6517,252,1639270,516676,103200,100200,110128,40200,870404,768866,46.9
R10084,OUT105,BrewBite Domlur Standalone,Domlur,East,Standalone,860,2020,2023-05,10382,6369,278,1769450,563805,103200,94500,99662,46000,907167,862283,48.7
R10085,OUT105,BrewBite Domlur Standalone,Domlur,East,Standalone,860,2020,2023-06,10328,5693,262,1489680,480242,103200,94900,92397,34100,804839,684841,46
R10086,OUT105,BrewBite Domlur Standalone,Domlur,East,Standalone,860,2020,2023-07,9852,5953,262,1560560,508760,103200,92700,90804,30000,825464,735096,47.1
R10087,OUT105,BrewBite Domlur Standalone,Domlur,East,Standalone,860,2020,2023-08,11372,7258,263,1906860,601097,103200,82800,138209,47200,972506,934354,49
R10088,OUT105,BrewBite Domlur Standalone,Domlur,East,Standalone,860,2020,2023-09,11482,7499,315,2361710,789732,103200,106500,120539,37700,1157671,1204039,51
R10089,OUT105,BrewBite Domlur Standalone,Domlur,East,Standalone,860,2020,2023-10,11159,5934,315,1871740,654778,103200,100700,124232,42000,1024910,846830,45.2
R10090,OUT105,BrewBite Domlur Standalone,Domlur,East,Standalone,860,2020,2023-11,10745,6679,238,1587130,489695,103200,91800,74344,39900,798939,788191,49.7
R10091,OUT105,BrewBite Domlur Standalone,Domlur,East,Standalone,860,2020,2023-12,13203,7850,252,1978390,617782,103200,102400,45664,42000,911046,1067344,54
R10092,OUT105,BrewBite Domlur Standalone,Domlur,East,Standalone,860,2020,2024-01,10215,7009,283,1982440,624251,103200,105000,55093,42700,930244,1052196,53.1
R10093,OUT105,BrewBite Domlur Standalone,Domlur,East,Standalone,860,2020,2024-02,9510,6847,365,2497200,864843,103200,87000,49944,40500,1145487,1351713,54.1
R10094,OUT105,BrewBite Domlur Standalone,Domlur,East,Standalone,860,2020,2024-03,9884,6110,266,1623280,549682,103200,93500,78479,33000,857861,765419,47.2
R10095,OUT105,BrewBite Domlur Standalone,Domlur,East,Standalone,860,2020,2024-04,9728,6511,281,1832520,516121,103200,91300,61614,42900,815135,1017385,55.5
R10096,OUT105,BrewBite Domlur Standalone,Domlur,East,Standalone,860,2020,2024-05,11923,6906,294,2032650,598494,103200,97000,97139,40400,936233,1096417,53.9
R10097,OUT105,BrewBite Domlur Standalone,Domlur,East,Standalone,860,2020,2024-06,10679,6452,277,1789900,625143,103200,93500,77415,36500,935758,854142,47.7
R10098,OUT105,BrewBite Domlur Standalone,Domlur,East,Standalone,860,2020,2024-07,9745,6458,278,1793280,600966,103200,91800,134153,41400,971519,821761,45.8
R10099,OUT105,BrewBite Domlur Standalone,Domlur,East,Standalone,860,2020,2024-08,10556,5766,307,1772640,555129,103200,102100,37940,27300,825669,946971,53.4
R10100,OUT106,BrewBite Sarjapur Road Kiosk,Sarjapur Road,East,Kiosk,215,2021,2023-01,5992,3724,217,808810,254260,9100,19100,49979,22700,355139,453671,56.1
R10101,OUT106,BrewBite Sarjapur Road Kiosk,Sarjapur Road,East,Kiosk,215,2021,2023-02,6176,4477,257,1152160,335205,9100,20000,53383,23300,440988,711172,61.7
R10102,OUT106,BrewBite Sarjapur Road Kiosk,Sarjapur Road,East,Kiosk,215,2021,2023-03,6391,3395,276,936230,297721,9100,22200,54155,18000,401176,535054,57.1
R10103,OUT106,BrewBite Sarjapur Road Kiosk,Sarjapur Road,East,Kiosk,215,2021,2023-04,6592,4549,218,993710,296244,9100,16500,36351,19600,377795,615915,62
R10104,OUT106,BrewBite Sarjapur Road Kiosk,Sarjapur Road,East,Kiosk,215,2021,2023-05,6772,4008,213,852770,266656,9100,20200,44593,20600,361149,491621,57.6
R10105,OUT106,BrewBite Sarjapur Road Kiosk,Sarjapur Road,East,Kiosk,215,2021,2023-06,6052,3647,214,781140,247262,9100,23800,29553,21600,331315,449825,57.6
R10106,OUT106,BrewBite Sarjapur Road Kiosk,Sarjapur Road,East,Kiosk,215,2021,2023-07,5992,3143,237,746340,260005,9100,18100,29295,22300,338800,407540,54.6
R10107,OUT106,BrewBite Sarjapur Road Kiosk,Sarjapur Road,East,Kiosk,215,2021,2023-08,5395,2943,247,727140,236916,9100,21700,34576,25100,327392,399748,55
R10108,OUT106,BrewBite Sarjapur Road Kiosk,Sarjapur Road,East,Kiosk,215,2021,2023-09,5670,3856,259,997340,344360,9100,19600,49424,19700,442184,555156,55.7
R10109,OUT106,BrewBite Sarjapur Road Kiosk,Sarjapur Road,East,Kiosk,215,2021,2023-10,7201,4563,216,984050,320035,9100,18300,26611,20200,394246,589804,59.9
R10110,OUT106,BrewBite Sarjapur Road Kiosk,Sarjapur Road,East,Kiosk,215,2021,2023-11,6969,4278,253,1084030,387859,9100,18200,61089,17800,494048,589982,54.4
R10111,OUT106,BrewBite Sarjapur Road Kiosk,Sarjapur Road,East,Kiosk,215,2021,2023-12,6966,4404,241,1060820,322274,9100,21700,56837,26200,436111,624709,58.9
R10112,OUT106,BrewBite Sarjapur Road Kiosk,Sarjapur Road,East,Kiosk,215,2021,2024-01,5600,3797,252,955760,289640,9100,20200,42017,22400,383357,572403,59.9
R10113,OUT106,BrewBite Sarjapur Road Kiosk,Sarjapur Road,East,Kiosk,215,2021,2024-02,5581,2797,260,727460,225908,9100,21000,38574,19700,314282,413178,56.8
R10114,OUT106,BrewBite Sarjapur Road Kiosk,Sarjapur Road,East,Kiosk,215,2021,2024-03,4973,2964,212,629290,207564,9100,18900,25451,17700,278715,350575,55.7
R10115,OUT106,BrewBite Sarjapur Road Kiosk,Sarjapur Road,East,Kiosk,215,2021,2024-04,6005,3551,250,886830,258704,9100,21700,42455,21600,353559,533271,60.1
R10116,OUT106,BrewBite Sarjapur Road Kiosk,Sarjapur Road,East,Kiosk,215,2021,2024-05,6937,4765,215,1022390,353824,9100,20400,70588,19600,473512,548878,53.7
R10117,OUT106,BrewBite Sarjapur Road Kiosk,Sarjapur Road,East,Kiosk,215,2021,2024-06,5784,3156,229,722210,243728,9100,22400,42974,19900,338102,384108,53.2
R10118,OUT106,BrewBite Sarjapur Road Kiosk,Sarjapur Road,East,Kiosk,215,2021,2024-07,6508,3521,211,741210,225951,9100,20600,31980,17000,304631,436579,58.9
R10119,OUT106,BrewBite Sarjapur Road Kiosk,Sarjapur Road,East,Kiosk,215,2021,2024-08,6345,4580,261,1195100,375206,9100,19200,78495,17200,499201,695899,58.2
R10120,OUT107,BrewBite Indiranagar Standalone,Indiranagar,East,Standalone,781,2019,2023-01,8250,5992,269,1612530,549135,93700,76300,67278,38100,824513,788017,48.9
R10121,OUT107,BrewBite Indiranagar Standalone,Indiranagar,East,Standalone,781,2019,2023-02,7526,4363,280,1220470,426843,93700,85200,92349,37200,735292,485178,39.8
R10122,OUT107,BrewBite Indiranagar Standalone,Indiranagar,East,Standalone,781,2019,2023-03,8807,5153,257,1326530,426804,93700,72700,42992,34400,670596,655934,49.4
R10123,OUT107,BrewBite Indiranagar Standalone,Indiranagar,East,Standalone,781,2019,2023-04,9183,6298,275,1731210,561300,93700,82300,50401,35900,823601,907609,52.4
R10124,OUT107,BrewBite Indiranagar Standalone,Indiranagar,East,Standalone,781,2019,2023-05,9273,5446,255,1389230,453048,93700,80400,42550,40800,710498,678732,48.9
R10125,OUT107,BrewBite Indiranagar Standalone,Indiranagar,East,Standalone,781,2019,2023-06,8092,5045,266,1341800,355844,93700,80300,58079,34200,622123,719677,53.6
R10126,OUT107,BrewBite Indiranagar Standalone,Indiranagar,East,Standalone,781,2019,2023-07,8010,4972,315,1567570,479027,93700,84800,83679,42300,783506,784064,50
R10127,OUT107,BrewBite Indiranagar Standalone,Indiranagar,East,Standalone,781,2019,2023-08,8435,4534,320,1450510,407845,93700,89700,100226,34600,726071,724439,49.9
R10128,OUT107,BrewBite Indiranagar Standalone,Indiranagar,East,Standalone,781,2019,2023-09,8378,4646,289,1342390,404420,93700,87300,78922,44200,708542,633848,47.2
R10129,OUT107,BrewBite Indiranagar Standalone,Indiranagar,East,Standalone,781,2019,2023-10,9424,6112,275,1678880,535206,93700,91700,103134,38300,862040,816840,48.7
R10130,OUT107,BrewBite Indiranagar Standalone,Indiranagar,East,Standalone,781,2019,2023-11,10069,5582,267,1491420,483801,93700,93600,47735,30100,748936,742484,49.8
R10131,OUT107,BrewBite Indiranagar Standalone,Indiranagar,East,Standalone,781,2019,2023-12,10301,6870,317,2180950,794615,93700,75500,103250,32000,1099065,1081885,49.6
R10132,OUT107,BrewBite Indiranagar Standalone,Indiranagar,East,Standalone,781,2019,2024-01,8366,4920,284,1395520,437025,93700,73600,81898,37300,723523,671997,48.2
R10133,OUT107,BrewBite Indiranagar Standalone,Indiranagar,East,Standalone,781,2019,2024-02,6833,3312,246,816220,267092,93700,90000,41624,29600,522016,294204,36
R10134,OUT107,BrewBite Indiranagar Standalone,Indiranagar,East,Standalone,781,2019,2024-03,8376,4853,273,1325340,399002,93700,69200,80747,34800,677449,647891,48.9
R10135,OUT107,BrewBite Indiranagar Standalone,Indiranagar,East,Standalone,781,2019,2024-04,7673,4469,301,1344070,443886,93700,85100,84783,35000,742469,601601,44.8
R10136,OUT107,BrewBite Indiranagar Standalone,Indiranagar,East,Standalone,781,2019,2024-05,9210,5667,259,1469930,502375,93700,88000,42216,39700,765991,703939,47.9
R10137,OUT107,BrewBite Indiranagar Standalone,Indiranagar,East,Standalone,781,2019,2024-06,7726,4574,255,1164720,339170,93700,86800,65934,36500,622104,542616,46.6
R10138,OUT107,BrewBite Indiranagar Standalone,Indiranagar,East,Standalone,781,2019,2024-07,7559,4522,292,1320050,434485,93700,95700,56767,37300,717952,602098,45.6
R10139,OUT107,BrewBite Indiranagar Standalone,Indiranagar,East,Standalone,781,2019,2024-08,8290,5735,289,1659200,505408,93700,81100,68353,34100,782661,876539,52.8
R10140,OUT108,BrewBite JP Nagar Standalone,JP Nagar,South,Standalone,864,2022,2023-01,5609,3577,219,783580,251509,73400,81800,48551,41400,496660,286920,36.6
R10141,OUT108,BrewBite JP Nagar Standalone,JP Nagar,South,Standalone,864,2022,2023-02,5979,4094,237,968270,281706,73400,84000,34405,33000,506511,461759,47.7
R10142,OUT108,BrewBite JP Nagar Standalone,JP Nagar,South,Standalone,864,2022,2023-03,6396,4025,250,1006660,318024,73400,89200,50693,38000,569317,437343,43.4
R10143,OUT108,BrewBite JP Nagar Standalone,JP Nagar,South,Standalone,864,2022,2023-04,6195,4006,204,816630,266754,73400,80300,41164,41000,502618,314012,38.5
R10144,OUT108,BrewBite JP Nagar Standalone,JP Nagar,South,Standalone,864,2022,2023-05,6770,4126,217,897400,259148,73400,91700,46654,49100,520002,377398,42.1
R10145,OUT108,BrewBite JP Nagar Standalone,JP Nagar,South,Standalone,864,2022,2023-06,7705,5006,208,1043410,306980,73400,91800,63688,36900,572768,470642,45.1
R10146,OUT108,BrewBite JP Nagar Standalone,JP Nagar,South,Standalone,864,2022,2023-07,7390,5082,248,1258150,385465,73400,87400,52978,39300,638543,619607,49.2
R10147,OUT108,BrewBite JP Nagar Standalone,JP Nagar,South,Standalone,864,2022,2023-08,6093,4335,218,943360,319621,73400,86200,40000,40800,560021,383339,40.6
R10148,OUT108,BrewBite JP Nagar Standalone,JP Nagar,South,Standalone,864,2022,2023-09,8067,5595,248,1388580,469540,73400,83400,44212,37800,708352,680228,49
R10149,OUT108,BrewBite JP Nagar Standalone,JP Nagar,South,Standalone,864,2022,2023-10,7961,4787,238,1138980,388815,73400,93600,23750,45800,625365,513615,45.1
R10150,OUT108,BrewBite JP Nagar Standalone,JP Nagar,South,Standalone,864,2022,2023-11,8076,4517,268,1212240,392343,73400,77700,64521,42000,649964,562276,46.4
R10151,OUT108,BrewBite JP Nagar Standalone,JP Nagar,South,Standalone,864,2022,2023-12,9510,6030,251,1510660,490866,73400,85100,73482,42400,765248,745412,49.3
R10152,OUT108,BrewBite JP Nagar Standalone,JP Nagar,South,Standalone,864,2022,2024-01,7642,4146,224,929820,301733,73400,80900,55529,34100,545662,384158,41.3
R10153,OUT108,BrewBite JP Nagar Standalone,JP Nagar,South,Standalone,864,2022,2024-02,6605,4023,265,1064720,351730,73400,79200,61628,38000,603958,460762,43.3
R10154,OUT108,BrewBite JP Nagar Standalone,JP Nagar,South,Standalone,864,2022,2024-03,7226,4126,252,1040140,345521,73400,85000,49036,45200,598157,441983,42.5
R10155,OUT108,BrewBite JP Nagar Standalone,JP Nagar,South,Standalone,864,2022,2024-04,8393,5319,266,1415600,409517,73400,85800,68171,36300,673188,742412,52.4
R10156,OUT108,BrewBite JP Nagar Standalone,JP Nagar,South,Standalone,864,2022,2024-05,7959,5511,262,1444320,424659,73400,83800,63455,44400,689714,754606,52.2
R10157,OUT108,BrewBite JP Nagar Standalone,JP Nagar,South,Standalone,864,2022,2024-06,7889,4892,243,1186560,366419,73400,71100,50738,47400,609057,577503,48.7
R10158,OUT108,BrewBite JP Nagar Standalone,JP Nagar,South,Standalone,864,2022,2024-07,6927,3978,223,888830,271972,73400,73300,36190,43600,498462,390368,43.9
R10159,OUT108,BrewBite JP Nagar Standalone,JP Nagar,South,Standalone,864,2022,2024-08,8592,5258,190,996740,308618,73400,73900,45100,39600,540618,456122,45.8
